Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2011-01-03,299.826904296875,300.8108970528771,297.1696433842555,298.5828008269727,5048544
2011-01-04,301.8295593261719,303.35108730395103,299.70983389818764,299.70983389818764,8119288
2011-01-05,299.935302734375,301.44381378470035,298.67820313705596,300.40345549726396,3523160
2011-01-06,301.54351806640625,302.8309699637146,298.59151824373504,301.7039151084245,4691840
2011-01-07,292.23223876953125,303.0042793145477,290.9838175873087,300.260343449013,8550928
2011-01-10,294.39959716796875,298.50900220538347,290.60662584319556,292.6006450539335,10390408
2011-01-11,288.32659912109375,296.7968445038011,285.0668228181259,289.56636353352246,12319416
2011-01-12,292.8000183105469,293.901059343889,287.67624801305453,290.43320023658646,10035400
2011-01-13,277.8796691894531,286.01180663341637,276.9953689584011,285.49162753678087,22352872
2011-01-14,277.801513671875,284.18236140807454,276.12826750369703,276.22795998155516,10321640
2011-01-17,283.3935546875,284.5119311943859,276.67023613778616,277.42883059644834,8218616
2011-01-18,288.0924377441406,289.1934789395475,281.7635939417566,281.7635939417566,9797168
2011-01-19,281.72894287109375,287.3121887669171,280.5325269888068,286.718309300748,6935088
2011-01-20,285.7430114746094,286.7400213139013,278.9980401034418,280.2031130949127,7231848
2011-01-21,281.2304992675781,284.1911767948815,280.11644058092196,283.58430118854716,4626824
2011-01-24,284.7677001953125,285.2315350181055,279.79566774810115,280.8967092579519,7501360
2011-01-25,282.6003112792969,286.5190110316884,280.5542860466895,283.0641461414223,9925912
2011-01-27,277.1601867675781,283.4110163658763,276.1718545835115,283.4110163658763,12710648
2011-01-28,274.66754150390625,283.3718838650725,272.28338746316166,277.9316778266462,12684296
2011-01-31,270.29376220703125,272.0970542299633,267.5628215639712,272.0970542299633,7749368
2011-02-01,267.82281494140625,271.2213133987284,263.82611911980445,271.039263454274,10301688
2011-02-02,267.8271789550781,274.3077427252139,265.72478870189025,269.88622095562295,9174728
